product_id,old_sku,new_sku,name
7909,,TZ-BRAN-GRAN-ECED,"Grand Theft Auto: The Trilogy – The Definitive Edition"
7907,,TZ-BRAN-FIRE-0C3A,"Fire Emblem Warriors: Three Hopes"
7905,,TZ-BRAN-FINA-661D,"Final Fantasy XII The Zodiac Age"
7898,,TZ-BRAN-DRAG-616C,"Dragon Ball Fighterz"
7895,,TZ-BRAN-DIGI-1F19,"Digimon Survive"
7893,,TZ-BRAN-DETE-DC1B,"Detective Pikachu Returns"
7890,,TZ-BRAN-CRIS-1CB3,"Crisis Core Final Fantasy VII Reunion"
7879,,TZ-BRAN-CRAS-C8E5,"Crash Team Racing: Nitro-Fueled"
7875,,TZ-BRAN-CLUB-1486,"Clubhouse Games: 51 Worldwide Classics"
7869,,TZ-BRAN-CARS-6CB3,"Cars 3: Driven To Win"
7868,,TZ-BRAN-BATM-981E,"Batman: Arkham Trilogy"
7858,,TZ-BRAN-ANIM-FF54,"Animal Crossing New Horizons"
7857,,TZ-BRAN-AETE-42B2,"Aeternoblade II"
7836,,TZ-GADG-META-0FFB,"META QUEST 3 / 3S 128GB / 256GB / 512GB"
7835,,TZ-BRAN-DRAG-7DBE,"Dragon's Dogma II"
7834,,TZ-PLAY-FATE-EF2B,"Fate Extella Link"
7824,,TZ-PLAY-FARC-4973,"Far Cry Primal"
7823,,TZ-PLAY-FALL-C8D0,"Fallout 4"
7822,,TZ-PLAY-EAGL-B2C0,"Eagle Flight"
7816,,TZ-PLAY-DEVI-1529,"Devil May Cry: Definitive Edition"
7815,,TZ-PLAY-DEVI-3708,"Devil May Cry 5"
7814,,TZ-PLAY-DYNA-DFAA,"Dynasty Warriors 7 Empires"
7813,,TZ-PLAY-DRAG-C81A,"Dragon Ball Fighterz"
7812,,TZ-PLAY-DRAG-0878,"Dragon Age Inquisition"
7806,,TZ-PLAY-DISS-8221,"Dissidia Final Fantasy NT"
7805,,TZ-PLAY-DISH-EDCF,"Dishonored Definitive Edition"
7804,,TZ-PLAY-DISG-3807,"Disgaea 5: Alliance of Vengeance"
